BinLocationName,ArticleSKU
FK13-5-A,PRO-00-13029-5
FK13-5-B,BAK-00-130085-5
FK13-6-A,PRO-00-50117-5
FK13-6-B,PRO-00-90427-5
FK13-7-A,PRO-00-123234-5
FK13-7-B,BAK-00-130086-5
FK13-8-A,PHF-11-10299-3
FK13-8-B,BAK-11-150568-5
FK14-1-A,DAI-11-100317-5
FK14-2-A,PHF-11-10164-3
FK14-2-B,SPI-00-11574-5
FK14-3-A,PRO-00-90448-5
FK14-3-B,PRO-00-10754-3
FK14-4-A,DAI-11-100318-5
FK14-4-B,SPI-00-90512-5
FK14-5-A,PRO-00-90449-5
FK14-5-B,SPI-00-11573-5
FK14-6-A,PHF-11-00009-3
FK14-6-B,SPI-00-90513-5
FK14-7-A,PHF-11-10322-3
FK14-7-B,PHF-11-00010-3
FK14-8-A,DRY-00-001692-5
FK14-8-B,PHF-11-10544-3
FK14-9-A,PHF-11-10276-3
FK14-10-A,DRY-00-001697-5
FK14-10-B,SPI-00-12021-5
FK15-1-A,PHF-11-10122-3
FK15-1-B,SPI-00-90497-5
FK15-2-A,PRO-00-10147-5
FK15-2-B,SPI-00-132265-5
FK15-3-A,PHF-11-10164-3
FK15-3-B,PRO-00-90543-5
FK15-4-A,PHF-11-10124-3
FK15-4-B,SPI-00-90496-5
FK15-5-A,PHF-11-132613-5
FK15-5-B,SPI-00-131963-5
FK15-6-A,PRO-00-002386-5
FK15-6-B,SPI-00-12021-5
FK15-7-A,PHF-11-10074-3
FK15-7-B,PHF-11-10695-3
FK15-8-A,PHF-11-132608-5
FK15-8-B,SPI-00-11574-5
FK15-9-A,PHF-11-00008-3
FK15-9-B,PHF-11-10299-3
FK15-10-A,PRO-00-10011-5
FK15-10-B,SPI-00-11573-5
FK16-1-A,PHF-11-132613-5
FK16-1-B,SPI-00-90521-5
FK16-2-A,SPI-00-12084-5
FK16-2-B,DRY-00-142394-5
FK16-3-A,PHF-11-10404-3
FK16-3-B,PHF-11-10359-3
FK16-4-A,PHF-11-132611-5
FK16-4-B,PHF-11-10164-3
FK16-5-A,PHF-11-10187-3
FK16-5-B,SPI-00-101531-5
FK16-6-A,SPI-00-133290-5
FK16-6-B,DRY-00-003336-2
FK16-7-A,SPI-00-90520-5
FK16-7-B,PRO-00-001541-5
FK16-8-A,PHF-11-10366-3
FK16-8-B,DRY-00-003335-5
FK16-9-A,PRO-00-128882-3
FK16-9-B,SPI-00-125402-5
FK16-10-A,DRY-00-003334-5
FK16-10-B,PHF-11-10794-3
FK17-1-A,PHF-11-10122-3
FK17-1-B,PCK-00-102736-5
FK17-2-A,PHF-11-132611-5
FK17-2-B,SPI-00-11656-5
FK17-3-A,PHF-11-10164-3
FK17-3-B,PRO-00-128882-3
FK17-4-A,PHF-11-132608-5
FK17-4-B,SPI-00-12084-5
FK17-5-A,PHF-11-10276-3
FK17-5-B,PRO-00-134065-5
FK17-6-A,PHF-11-10124-3
FK17-6-B,PHF-11-10299-3
FK17-7-A,PHF-11-00005-3
FK17-7-B,PRO-00-129170-5
FK17-8-A,PHF-11-150274-5
FK17-8-B,SPI-00-11655-5
FK17-9-A,PRO-00-10064-5
FK17-9-B,SPI-00-101531-5
FK17-10-A,PHF-11-10322-3
FK17-10-B,PRO-00-123229-5
FK18-1-A,DAI-11-100317-5
FK18-1-B,PCK-00-102736-5
FK18-2-A,PRO-00-10723-3
FK18-2-B,PCK-00-102737-5
FK18-3-A,PHF-11-10107-3
FK18-3-B,SPI-00-90517-5
FK18-4-A,PHF-11-132611-5
FK18-4-B,PRO-00-13017-5
FK18-5-A,PRO-00-10735-5
FK18-5-B,DRY-00-142002-5
FK18-6-A,PHF-11-10074-3
FK18-6-B,SPI-00-11574-5
FK18-7-A,DAI-11-100318-5
FK18-7-B,DRY-00-142139-5
FK18-8-A,PRO-00-10064-5
FK18-8-B,SPI-00-11573-5
FK18-9-A,PRO-00-134065-5
FK18-9-B,SPI-00-50086-5
FK18-10-A,PHF-11-132610-5
FK18-10-B,PRO-00-136070-5
FK18-11-A,PRO-00-129170-5
FK18-11-B,SPI-00-50085-5
FK18-12-A,PHF-11-10359-3
FK18-12-B,DRY-00-143404-5
FK18-13-A,DRY-00-10277-5
FK18-13-B,SPI-00-50084-5
FK18-14-A,DRY-00-140908-5
FK18-14-B,SPI-00-90516-5
FK18-15-A,DRY-00-10474-5
FK18-15-B,PHF-11-10836-3
FK18-16-A,PHF-11-10704-3
FK18-16-B,SPI-00-12021-5
FK18-17-A,DRY-00-10012-5
FK18-17-B,PHF-11-10791-3
FK19-1-A,PHF-11-10304-3
FK19-1-B,PCK-00-102737-5
FK19-2-A,PHF-11-132611-5
FK19-2-B,PCK-00-102736-5
FK19-3-A,PHF-11-00016-3
FK19-3-B,PRO-00-90453-5
FK19-4-A,PRO-00-90565-5
FK19-4-B,SPI-00-90516-5
